https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/33838 | Lekdijk | 2 | 3958ND | Amerongen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/34287 | Rijnbandijk | 60 | 4023AK | Rijswijk (GLD)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/34679 | Lekbandijk | 3 | 4023CA | Rijswijk (GLD)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/35412 | Boerenbuurt | 3 | 3956RL | Leersum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/36129 | Wilhelminaweg | 4 | 3947BL | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/36729 | Nederstraat | 9 | 3958CS | Amerongen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/36729 | Nederstraat | 11 | 3958CS | Amerongen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/36735 | Lekbandijk | 45 | 4119RA | Ravenswaaij
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/38923 | Kersweg | 28 | 3958BC | Amerongen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/39117 | Roekenes | 3 | 3956RP | Leersum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/39117 | Roekenes | 5 | 3956RP | Leersum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/39599 | Boerenbuurt | 32 | 3956RM | Leersum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/39690 | Wijkerweg | 1 | 3947NH | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/40219 | Rijksstraatweg | 3 | 3956CH | Leersum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/40443 | Dorpsstraat | 34 | 3945BL | Cothen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/40560 | Langbroekerdijk B | 24 | 3947BB | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/40753 | Langbroekerdijk A | 27 | 3947BC | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/40881 | Lekbandijk | 83 | 4119RB | Ravenswaaij
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/41157 | Burg H vd Boschstraat | 92 | 3958CE | Amerongen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/42186 | Overstraat | 36 | 3958BV | Amerongen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/42186 | Overstraat | 38 | 3958BV | Amerongen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/42517 | Langbroekerdijk B | 9 | 3947BA | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/42639 | Bremweg | 14 | 3956NL | Leersum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/42743 | Lekbandijk | 31 | 4119RA | Ravenswaaij
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/42854 | Langbroekerdijk A | 4 | 3947BH | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/43197 | Kerkweg | 18 | 3956RT | Leersum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/43338 | Burg H vd Boschstraat | 55 | 3958CB | Amerongen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/43407 | Overstraat | 39 | 3958BS | Amerongen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/43796 | Rijksstraatweg | 4 | 3958ES | Amerongen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/43796 | Rijksstraatweg | 6 | 3958ES | Amerongen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/45820 | Langbroekerdijk B | 12 | 3947BB | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/46095 | Rijnbandijk | 50 | 4023AK | Rijswijk (GLD)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/47195 | Langbroekerdijk A | 68 a | 3947BK | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/47195 | Langbroekerdijk A | 68 | 3947BK | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/47558 | Donkerstraat | 22 | 3958BJ | Amerongen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/48006 | Donkerstraat | 14 | 4119LZ | Ravenswaaij
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/48251 | Rijnbandijk | 243 | 4023AJ | Rijswijk (GLD)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/48456 | De Heuvel | 2 | 4023AB | Rijswijk (GLD)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/48456 | De Heuvel | 4 | 4023AB | Rijswijk (GLD)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/48762 | Burg H vd Boschstraat | 105 | 3958CC | Amerongen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/48762 | Burg H vd Boschstraat | 105 A | 3958CC | Amerongen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/49203 | Langbroekerdijk B | 26 | 3947BB | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/50166 | Rijnbandijk | 5 | 4024BM | Eck en Wiel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/51997 | Langbroekerdijk B | 1 B | 3947BA | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/52281 | Rijnbandijk | 245 | 4023AJ | Rijswijk (GLD)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/52281 | Rijnbandijk | 245 A | 4023AJ | Rijswijk (GLD)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/52731 | Langbroekerdijk A | 83 | 3947BE | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/54610 | Bovenhaarweg | 12 | 3956KK | Leersum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/54839 | Langbroekerdijk B | 7 | 3947BA | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/54988 | Lekdijk | 5 | 3958ND | Amerongen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/55023 | Langbroekerdijk B | 4 | 3947BB | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/55041 | Langbroekerdijk B | 16 | 3947BB | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/55093 | Langbroekerdijk B | 14 | 3947BB | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/55161 | Prinses Margrietstraat | 2 | 4023AD | Rijswijk (GLD)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/55179 | Garststraat | 15 | 4021AB | Maurik
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/55179 | Garststraat | 17 | 4021AB | Maurik
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/55671 | Veerweg | 3 | 4024BP | Eck en Wiel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/57091 | Lekbandijk | 77 | 4119RB | Ravenswaaij
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/57091 | Lekbandijk | 79 | 4119RB | Ravenswaaij
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/57405 | Wijkerweg | 2 | 3947NH | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/57405 | Langbroekerdijk B | 1 | 3947BA | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/58014 | Roekenes | 1 | 3956RP | Leersum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/58102 | Langbroekerdijk A | 49 | 3947BD | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/58406 | Lekbandijk | 47 | 4119RA | Ravenswaaij
